RGB_medio_cafe,R_medio_cafe,G_medio_cafe,B_medio_cafe,RGB_std_cafe,R_std_cafe,G_std_cafe,B_std_cafe,RGB_medio_folha,RGB_std_folha,HSV_medio_cafe,H_medio_cafe,S_medio_cafe,V_medio_cafe,HSV_std_cafe,H_std_cafe,S_std_cafe,V_std_cafe,HSV_medio_folha,HSV_std_folha,Agtron
38.247,30.625,36.969,47.146,25.796,21.441,24.43,28.3,199.165,5.098,54.409,17.229,98.807,47.19,48.121,28.77,43.752,28.272,77.261,87.902,Agtron 25
38.976,31.872,37.358,47.699,27.189,22.975,25.893,29.837,202.233,2.401,55.552,21.993,96.881,47.78,49.262,39.472,44.067,29.758,77.795,89.558,Agtron 25
37.443,36.118,36.982,39.229,33.641,32.124,33.723,34.939,203.274,2.678,55.978,70.095,56.995,40.844,49.893,57.216,50.271,35.183,79.794,89.176,Agtron 25
45.473,31.822,43.396,61.2,27.244,18.675,23.612,29.707,199.165,5.098,67.893,14.193,128.245,61.242,55.955,19.909,39.307,29.684,77.261,87.902,Agtron 35
45.037,31.055,43.144,60.912,27.186,18.992,23.696,29.052,202.233,2.401,69.723,14.681,133.555,60.934,57.759,20.863,39.37,29.014,77.795,89.558,Agtron 35
41.015,31.161,38.936,52.947,25.45,19.16,23.034,28.313,203.274,2.678,60.405,16.103,112.135,52.976,51.615,28.965,40.747,28.269,79.794,89.176,Agtron 35
51.231,32.323,49.165,72.204,32.984,19.423,27.909,36.138,199.165,5.098,77.017,14.043,144.793,72.215,62.506,18.083,38.822,36.119,77.261,87.902,Agtron 45
58.026,34.702,56.467,82.91,35.565,20.441,29.352,36.735,202.233,2.401,84.451,14.721,155.714,82.918,65.376,16.649,35.405,36.718,77.795,89.558,Agtron 45
46.831,31.42,44.449,64.625,30.084,19.43,26.01,33.185,203.274,2.678,71.889,14.398,136.632,64.639,59.739,22.382,39.448,33.161,79.794,89.176,Agtron 45
56.921,33.363,54.887,82.514,35.988,20.76,30.012,36.602,199.165,5.098,85.114,13.999,158.823,82.519,66.512,15.77,34.454,36.59,77.261,87.902,Agtron 55
60.188,34.416,59.181,86.966,35.582,19.206,28.194,35.386,202.233,2.401,87.614,14.751,161.118,86.972,66.412,13.406,32.994,35.373,77.795,89.558,Agtron 55
57.081,32.265,54.397,84.582,36.732,20.916,29.558,36.841,203.274,2.678,87.345,13.334,164.113,84.588,68.638,14.235,34.573,36.837,79.794,89.176,Agtron 55
62.136,35.719,61.794,88.894,37.234,21.877,30.831,36.277,199.165,5.098,88.403,15.521,160.787,88.9,66.587,14.08,35.164,36.267,77.261,87.902,Agtron 65
65.5,34.558,65.185,96.757,38.648,18.961,29.255,36.484,202.233,2.401,94.304,15.325,170.828,96.761,69.541,12.853,30.207,36.474,77.795,89.558,Agtron 65
62.285,32.613,61.767,92.475,36.226,17.632,26.923,33.303,203.274,2.678,92.851,15.173,170.901,92.478,68.919,12.754,29.203,33.294,79.794,89.176,Agtron 65
62.477,33.626,62.155,91.652,39.576,21.452,32.339,38.848,199.165,5.098,92.207,15.702,169.261,91.657,70.084,15.974,34.363,38.84,77.261,87.902,Agtron 75
73.027,35.354,73.76,109.965,42.832,19.624,31.107,36.971,202.233,2.401,102.012,15.939,180.127,109.968,72.968,12.445,29.632,36.963,77.795,89.558,Agtron 75
68.036,34.53,66.902,102.677,41.373,19.922,31.138,38.01,203.274,2.678,97.907,14.694,176.347,102.679,72.095,12.818,29.738,38.004,79.794,89.176,Agtron 75
39.671,29.899,40.239,48.874,20.509,19.359,18.473,19.112,170.377,4.989,58.214,17.992,107.72,48.93,43.115,13.96,29.131,19.452,105.248,67.415,Agtron 25
42.471,27.945,42.315,57.153,21.671,17.022,17.999,19.2,170.377,4.989,69.755,15.752,136.353,57.16,54.468,12.756,29.272,19.245,105.248,67.415,Agtron 35
50.32,30.951,50.072,69.938,26.814,19.661,21.625,23.295,170.377,4.989,77.695,15.679,147.453,69.952,58.895,13.184,30.229,23.368,105.248,67.415,Agtron 45
54.809,32.129,54.476,77.822,27.215,17.028,20.269,21.843,170.377,4.989,82.311,14.727,154.384,77.823,60.805,6.675,28.067,21.844,105.248,67.415,Agtron 55
60.563,34.055,61.932,85.701,32.313,23.815,24.639,24.932,170.377,4.989,87.797,17.529,160.127,85.735,63.502,14.442,32.967,25.069,105.248,67.415,Agtron 65
61.343,33.798,64.023,86.207,29.671,17.986,21.182,22.017,170.377,4.989,87.732,17.51,159.478,86.209,61.656,7.619,27.937,22.023,105.248,67.415,Agtron 75
25.731,15.541,23.323,38.329,16.613,9.707,12.671,17.461,155.342,2.872,68.452,10.647,156.379,38.33,66.988,9.128,33.077,17.462,58.291,71.807,Agtron 25
22.045,15.206,20.853,30.077,13.456,9.829,11.303,14.356,155.342,2.872,58.411,12.012,133.145,30.078,57.936,8.011,35.477,14.355,58.291,71.807,Agtron 25
25.731,15.541,23.323,38.329,16.613,9.707,12.671,17.461,155.342,2.872,68.452,10.647,156.379,38.33,66.988,9.128,33.077,17.462,58.291,71.807,Agtron 35
33.631,18.124,30.653,52.116,23.079,11.547,17.41,23.883,155.342,2.872,77.634,10.949,169.837,52.116,71.401,8.257,32.502,23.882,58.291,71.807,Agtron 45
38.769,19.928,34.809,61.57,26.014,13.002,18.777,24.86,155.342,2.872,83.332,10.579,177.846,61.571,73.758,7.938,30.666,24.86,58.291,71.807,Agtron 55
42.519,21.921,39.737,65.898,27.823,15.806,20.95,25.592,155.342,2.872,84.756,11.892,176.477,65.898,72.521,7.004,31.564,25.592,58.291,71.807,Agtron 65
43.009,20.071,40.498,68.458,28.356,13.148,20.286,25.449,155.342,2.872,88.739,12.357,185.4,68.458,75.695,7.051,30.047,25.449,58.291,71.807,Agtron 75
18.391,13.542,15.278,26.352,22.29,20.612,20.644,23.3,172.322,6.368,68.042,28.167,149.598,26.361,75.722,57.687,57.891,23.318,102.959,70.671,Agtron 25
16.508,11.586,13.511,24.428,18.98,16.949,17.187,20.053,172.322,6.368,66.469,19.673,155.304,24.432,76.557,46.976,55.902,20.064,102.959,70.671,Agtron 25
18.334,13.422,15.425,26.154,21.453,19.269,19.669,22.996,172.322,6.368,65.958,24.939,146.769,26.167,74.327,53.332,58.337,23.015,102.959,70.671,Agtron 25
16.646,12.17,13.825,23.943,20.483,18.467,18.717,22.048,172.322,6.368,66.973,29.034,147.918,23.967,75.542,57.751,58.787,22.081,102.959,70.671,Agtron 25
19.178,14.047,15.969,27.518,22.483,20.361,20.634,23.874,172.322,6.368,67.517,27.297,147.724,27.53,75.015,56.1,59.275,23.899,102.959,70.671,Agtron 25
32.286,17.932,26.244,52.684,25.347,18.531,19.868,23.037,173.111,6.41,80.844,8.117,181.718,52.697,78.792,13.397,40.674,23.101,102.99,70.945,Agtron 35
35.416,19.058,28.825,58.366,26.668,17.9,19.914,24.058,173.111,6.41,83.058,7.957,182.842,58.376,78.557,11.218,40.006,24.105,102.99,70.945,Agtron 35
34.149,18.217,27.602,56.628,25.564,16.658,18.986,22.817,173.111,6.41,82.775,7.404,184.29,56.631,78.957,7.724,38.106,22.832,102.99,70.945,Agtron 35
32.652,17.346,26.256,54.353,26.173,19.41,20.323,22.787,173.111,6.41,83.04,8.341,186.391,54.388,80.386,13.99,39.746,22.97,102.99,70.945,Agtron 35
28.255,16.5,23.058,45.208,20.313,14.173,15.587,18.478,174.489,5.918,75.028,6.895,172.978,45.211,75.197,6.395,38.145,18.498,103.5,71.5,Agtron 35
28.402,16.882,23.255,45.068,20.998,15.321,16.479,19.479,174.489,5.918,74.304,7.277,170.557,45.078,74.465,10.44,39.154,19.539,103.5,71.5,Agtron 35
25.76,14.719,20.871,41.69,18.708,12.735,13.965,17.124,174.489,5.918,74.817,6.806,175.953,41.691,76.753,4.849,37.479,17.13,103.5,71.5,Agtron 35
27.229,16.431,22.255,43.001,19.814,14.983,15.621,17.865,174.489,5.918,73.061,7.197,168.968,43.019,73.835,10.601,38.472,17.994,103.5,71.5,Agtron 35
36.911,19.742,29.741,61.251,26.466,16.246,18.907,23.265,173.476,6.023,83.721,7.006,182.907,61.251,77.808,3.712,37.136,23.265,100.746,72.587,Agtron 35
34.975,18.247,28.377,58.301,26.428,15.422,19.431,24.749,173.476,6.023,83.396,7.196,184.692,58.301,78.835,3.925,36.33,24.749,100.746,72.587,Agtron 35
38.498,20.135,31.26,64.098,27.558,16.478,19.603,24.032,173.476,6.023,85.292,7.315,184.462,64.098,78.116,3.69,36.755,24.032,100.746,72.587,Agtron 35
32.425,17.196,25.667,54.412,24.329,14.865,17.426,22.137,173.476,6.023,82.017,6.601,185.039,54.412,79.441,3.629,36.961,22.137,100.746,72.587,Agtron 35
49.652,23.612,41.388,83.956,33.794,16.448,21.628,27.652,173.028,6.457,94.087,8.472,189.834,83.956,78.214,2.872,31.29,27.652,102.604,71.185,Agtron 45
47.005,22.94,39.075,79.0,32.467,15.75,21.398,28.119,173.028,6.457,91.652,8.226,187.73,79.0,77.725,2.634,31.223,28.119,102.604,71.185,Agtron 45
47.829,23.721,39.562,80.205,32.187,16.27,20.896,26.625,173.028,6.457,91.489,8.096,186.166,80.205,76.964,3.184,31.713,26.625,102.604,71.185,Agtron 45
46.167,22.376,38.145,77.98,31.307,15.416,19.99,25.703,173.028,6.457,91.388,8.177,188.008,77.98,77.728,3.449,31.832,25.703,102.604,71.185,Agtron 45
47.118,23.638,39.425,78.291,33.108,18.337,23.356,28.711,173.912,5.841,90.706,8.572,185.249,78.296,77.159,8.068,33.645,28.726,102.539,72.457,Agtron 45
42.783,21.346,35.036,71.966,30.459,15.901,21.028,26.779,173.912,5.841,88.662,7.702,186.318,71.966,77.668,3.759,31.555,26.779,102.539,72.457,Agtron 45
40.594,19.596,33.148,69.038,29.276,14.378,19.827,25.806,173.912,5.841,88.62,7.779,189.043,69.038,78.851,3.682,31.14,25.806,102.539,72.457,Agtron 45
44.413,21.245,36.723,75.27,31.572,15.798,21.113,27.332,173.912,5.841,91.027,8.176,189.634,75.27,78.673,3.004,31.246,27.332,102.539,72.457,Agtron 45
55.24,24.754,47.249,93.717,35.502,16.214,20.869,24.68,173.06,6.243,98.874,9.642,193.263,93.718,78.339,5.059,29.634,24.684,102.856,71.145,Agtron 55
54.398,24.255,46.566,92.372,35.55,16.624,21.606,25.226,173.06,6.243,98.698,9.569,194.152,92.374,78.884,2.976,30.45,25.23,102.856,71.145,Agtron 55
53.623,23.788,45.586,91.497,34.753,15.5,20.411,24.029,173.06,6.243,98.429,9.402,194.389,91.497,78.795,2.254,29.349,24.029,102.856,71.145,Agtron 55
54.419,25.994,46.193,91.069,37.104,20.726,25.617,28.732,173.06,6.243,97.061,9.153,190.957,91.071,78.955,6.059,35.478,28.738,102.856,71.145,Agtron 55
49.422,22.678,40.493,85.095,34.262,16.089,21.786,26.844,172.52,6.446,95.334,8.262,192.644,85.095,78.913,2.689,28.254,26.844,103.279,70.847,Agtron 55
53.691,25.496,44.867,90.709,36.356,17.651,24.185,28.736,172.52,6.446,96.16,8.545,189.225,90.709,77.557,2.874,29.049,28.736,103.279,70.847,Agtron 55
51.963,24.884,43.247,87.758,34.8,17.074,22.789,27.05,172.52,6.446,94.942,8.451,188.618,87.758,77.218,2.649,29.011,27.05,103.279,70.847,Agtron 55
63.676,28.616,55.295,107.119,40.626,19.129,24.902,27.903,172.571,6.502,103.378,9.96,193.052,107.122,78.62,4.589,30.999,27.909,102.909,70.832,Agtron 65
66.439,30.192,58.308,110.816,41.86,21.596,26.089,27.577,172.571,6.502,104.399,10.553,191.826,110.82,78.284,7.958,32.698,27.585,102.909,70.832,Agtron 65
64.633,28.557,56.643,108.699,40.756,18.557,24.367,27.162,172.571,6.502,104.26,10.284,193.796,108.7,78.549,4.145,29.782,27.163,102.909,70.832,Agtron 65
65.058,29.565,56.766,108.843,40.886,19.093,25.029,27.9,172.571,6.502,103.59,9.999,191.927,108.843,78.19,3.104,31.024,27.9,102.909,70.832,Agtron 65
63.132,27.922,55.867,105.606,39.887,17.492,24.133,28.071,174.079,6.836,102.817,10.494,192.351,105.606,77.737,2.26,28.077,28.071,103.07,71.324,Agtron 65
62.119,27.229,55.002,104.127,40.065,16.79,24.659,29.881,174.079,6.836,102.477,10.448,192.855,104.127,77.982,2.588,26.527,29.881,103.07,71.324,Agtron 65
64.344,28.526,57.026,107.48,41.012,17.763,25.54,29.681,174.079,6.836,103.455,10.487,192.396,107.48,77.863,2.741,27.017,29.681,103.07,71.324,Agtron 65
64.266,29.135,57.008,106.656,39.918,17.504,24.413,28.181,174.079,6.836,102.354,10.462,189.943,106.656,76.785,2.798,27.408,28.181,103.07,71.324,Agtron 65
63.841,28.106,56.512,106.906,40.479,17.309,24.59,28.743,172.735,6.227,103.366,10.495,192.697,106.906,77.804,2.313,26.669,28.743,102.459,70.776,Agtron 65
63.534,28.303,56.451,105.849,40.136,17.875,24.759,28.604,172.735,6.227,102.834,10.614,192.039,105.849,77.609,2.486,27.816,28.604,102.459,70.776,Agtron 65
57.632,24.943,50.894,97.06,37.758,18.185,23.668,26.788,172.735,6.227,101.059,10.526,195.59,97.06,79.021,2.322,29.35,26.788,102.459,70.776,Agtron 65
