ID,Device,Height,Width,Num_sample,Lighting_condition,R_mean,G_mean,B_mean,Paper_R_mean,Paper_G_mean,Paper_B_mean,H_mean,S_mean,V_mean,Paper_H_mean,Paper_S_mean,Paper_V_mean,Agtron_value,File,Path
70,Xiaomi Mi9,820,820,1,Luz,32,43,61,196,200,201,107,130,61,95,6,201,35,35_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\35_1.png
71,Xiaomi Mi9,774,954,2,Luz,31,43,61,200,203,204,107,136,61,95,5,204,35,35_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\35_2.png
72,Xiaomi Mi9,774,954,3,Luz,31,39,53,201,205,205,108,116,53,91,6,205,35,35_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\35_3.png
73,Xiaomi Mi9,820,820,1,Luz,32,49,72,196,200,201,107,146,72,95,6,201,45,45_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\45_1.png
74,Xiaomi Mi9,774,954,2,Luz,35,56,83,200,203,204,107,157,83,95,5,204,45,45_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\45_2.png
75,Xiaomi Mi9,774,954,3,Luz,31,44,65,201,205,205,108,139,65,91,6,205,45,45_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\45_3.png
76,Xiaomi Mi9,820,820,1,Luz,33,55,83,196,200,201,107,160,83,95,6,201,55,55_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\55_1.png
77,Xiaomi Mi9,774,954,2,Luz,34,59,87,200,203,204,106,162,87,95,5,204,55,55_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\55_2.png
78,Xiaomi Mi9,774,954,3,Luz,32,54,85,201,205,205,108,166,85,91,6,205,55,55_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\55_3.png
79,Xiaomi Mi9,820,820,1,Luz,36,62,89,196,200,201,106,162,89,95,6,201,65,65_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\65_1.png
80,Xiaomi Mi9,774,954,2,Luz,35,65,97,200,203,204,106,172,97,95,5,204,65,65_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\65_2.png
81,Xiaomi Mi9,774,954,3,Luz,33,62,92,201,205,205,106,172,92,91,6,205,65,65_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\65_3.png
82,Xiaomi Mi9,820,820,1,Luz,34,62,92,196,200,201,106,170,92,95,6,201,75,75_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\75_1.png
83,Xiaomi Mi9,774,954,2,Luz,35,74,110,200,203,204,105,181,110,95,5,204,75,75_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\75_2.png
84,Xiaomi Mi9,774,954,3,Luz,35,67,103,201,205,205,106,177,103,91,6,205,75,75_3.png,.\photos\Xiaomi Mi9\Luz\Cafe\75_3.png
85,Xiaomi Mi9,820,820,1,Luz,35,65,90,196,200,201,104,164,90,95,6,201,85,85_1.png,.\photos\Xiaomi Mi9\Luz\Cafe\85_1.png
86,Xiaomi Mi9,774,954,2,Luz,43,83,118,200,203,204,104,171,118,95,5,204,85,85_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\85_2.png
87,Xiaomi Mi9,774,954,2,Luz,58,98,124,200,203,204,102,145,124,95,5,204,95,95_2.png,.\photos\Xiaomi Mi9\Luz\Cafe\95_2.png
88,Xiaomi Mi9,820,820,1,Flash,30,37,49,198,203,206,109,115,49,98,10,206,25,25_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\25_1.png
89,Xiaomi Mi9,882,882,2,Flash,32,38,51,198,203,204,110,118,51,95,8,204,25,25_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\25_2.png
90,Xiaomi Mi9,882,882,3,Flash,33,34,37,197,202,203,77,70,38,95,8,203,25,25_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\25_3.png
91,Xiaomi Mi9,820,820,1,Flash,32,45,66,198,203,206,109,143,66,98,10,206,35,35_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\35_1.png
92,Xiaomi Mi9,882,882,2,Flash,32,47,69,198,203,204,108,149,69,95,8,204,35,35_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\35_2.png
93,Xiaomi Mi9,882,882,3,Flash,32,42,58,197,202,203,110,128,58,95,8,203,35,35_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\35_3.png
94,Xiaomi Mi9,820,820,1,Flash,31,50,76,198,203,206,108,159,76,98,10,206,45,45_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\45_1.png
95,Xiaomi Mi9,882,882,2,Flash,35,60,91,198,203,204,107,168,91,95,8,204,45,45_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\45_2.png
96,Xiaomi Mi9,882,882,3,Flash,31,47,70,197,202,203,109,152,70,95,8,203,45,45_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\45_3.png
97,Xiaomi Mi9,820,820,1,Flash,31,54,84,198,203,206,108,169,84,98,10,206,55,55_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\55_1.png
98,Xiaomi Mi9,882,882,2,Flash,33,60,93,198,203,204,107,174,93,95,8,204,55,55_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\55_2.png
99,Xiaomi Mi9,882,882,3,Flash,31,55,87,197,202,203,108,174,87,95,8,203,55,55_3.png,.\photos\Xiaomi Mi9\Flash\Cafe\55_3.png
100,Xiaomi Mi9,820,820,1,Flash,33,59,88,198,203,206,106,169,88,98,10,206,65,65_1.png,.\photos\Xiaomi Mi9\Flash\Cafe\65_1.png
101,Xiaomi Mi9,882,882,2,Flash,32,64,98,198,203,204,106,181,98,95,8,204,65,65_2.png,.\photos\Xiaomi Mi9\Flash\Cafe\65_2.png
